chembl_id,generic_name,max_phase,mol_type,n_synonyms,brand_names,research_codes
CHEMBL100259,uridine,3.0,Small molecule,6,,nsc-20256
CHEMBL1005,remifentanil,4.0,Small molecule,11,remifentanil|remifentanil,gi 87084x|ids-nr-005
CHEMBL1006,amifostine,4.0,Small molecule,25,amifostine|amifostine|amifostine|amifostine|ethyol,nsc-296961|nsc-758236|wr-2721|wr-2721 trihydrate|ym-08310
CHEMBL1007,gonadorelin,4.0,Protein,12,fertiral lh-rh|gonadorelin|gonadorelin|relefact lh-rh,
CHEMBL101253,vatalanib,3.0,Small molecule,14,vatalanib|vatalanib,bay-86-5127|cgp-79787|k-222584|nvp-ptk787|ptk787
CHEMBL1014,candesartan cilexetil,4.0,Small molecule,13,amias|atacand|candesartan cilexetil|candesartan cilexetil|ratacand,nsc-758697|tcv-116
CHEMBL1023,bexarotene,4.0,Small molecule,19,bexarotene|bexarotene|bexarotene|bexarotene|targretin,lg-100069|lg100069|lgd-1069|lgd1069|nsc-747528
CHEMBL1024,ifosfamide,4.0,Small molecule,22,ifex|ifosfamide|ifosfamide|ifosfamide|ifosfamide,mjf 9325|mjf-9325|nsc-109724|z-4942|z4942
CHEMBL103,progesterone,4.0,Small molecule,28,crinone|cyclogest|endometrin|lutigest|milprosa,nsc-64377|nsc-9704|u 3672
CHEMBL1034,diclofenac sodium,4.0,Small molecule,123,acoflam|acoflam ret|acoflam sr|arthronac|arthrotec 50,gp 45840|gp-45840|nsc-756725
CHEMBL1042,cholecalciferol,4.0,Small molecule,73,accrete d3|aciferol d3|adcal-d3|biolife vitamin d3|cacit d3,cholecalciferol component of ak r215  colecalciferol|cholecalciferol component of ak-r215  colecalciferol|nsc-375571
CHEMBL1046,aminocaproic acid,4.0,Small molecule,30,amicar|aminocaproic|aminocaproic acid|aminocaproic acid|aminocaproic acid,177 j.d|177 j.d.|177 jd|177-jd|cl 10304
CHEMBL105,mitomycin,4.0,Small molecule,26,jelmyto|mitomycin|mitomycin|mitomycin|mitomycin,nsc-26980|ugn-101|ugn-102
CHEMBL105442,ci-1040,2.0,Small molecule,4,,pd-18435|pd-184352
CHEMBL1057,fluorescein,4.0,Small molecule,10,d & c yellow no. 7 k7133,ci 45350:1|nsc-667256|nsc-759114
CHEMBL1059,pregabalin,4.0,Small molecule,38,alzain|axalid|bonqat|lecaent|lyrica,ci-1008|nsc-759256|pd-144723|ynp-1807
CHEMBL106,fluconazole,4.0,Small molecule,25,canesten oral|diflucan|diflucan one|fluconazole|fluconazole,"bayt-006267|bayt006267|nsc-758661|uk-49,858|uk-49858"
CHEMBL1064,simvastatin,4.0,Small molecule,28,flolipid|lacersa|ranzolont|simvador|simvastatin,c10aa01|mk-0733|mk-733|nsc-758706
CHEMBL107,colchicine,4.0,Small molecule,20,colchicine component of colbenemid|colchicine component of col-probenecid|colchicine component of mitigare|colchicine component of proben-c|colcrys,nsc-757
CHEMBL1073,glipizide,4.0,Small molecule,23,glibenese|glipizide|glipizide|glipizide|glipizide,"cp-28,720|cp-28720|k 4024|k-4024|nsc-759120"
CHEMBL1076903,varenicline,4.0,Small molecule,7,varenicline,"cp-526,555|cp-526555"
CHEMBL1077896,ropivacaine,4.0,Small molecule,10,ropivacaine,tlc-590|tlc590
CHEMBL1078178,momelotinib,4.0,Small molecule,10,momelotinib|momelotinib,cyt-0387|cyt-11387|cyt-387|cyt387|gs-0387
CHEMBL1079175,mk-2206,2.0,Small molecule,2,,mk2206
CHEMBL1079742,erlotinib hydrochloride,4.0,Small molecule,15,erlotinib hydrochloride|erlotinib hydrochloride|erlotinib hydrochloride|tarceva,"cp-358|cp-358,774-01|cp-358774-01|osi-774"
CHEMBL1082,amoxicillin,4.0,Small molecule,73,amix 125|amix 250|amix 500|amopen|amoram,brl 2333|brl-2333|nsc-277174
CHEMBL1082407,enzalutamide,4.0,Small molecule,13,enzalutamide|enzalutamide|xtandi,mdv-3100|mdv3100
CHEMBL1083385,clopidogrel bisulfate,4.0,Small molecule,32,clopidogrel bgr (previously zylagren)|clopidogrel bisulfate|clopidogrel bisulfate|clopidogrel bisulfate component of clopidogrel/acetylsalicyclic acid teva|clopidogrel bisulfate component of duocover,sr 25990c|sr-25990c
CHEMBL108358,tiazofurin,2.0,Small molecule,8,tiazofurin|tiazofurine,ci-909|nsc-286193
CHEMBL1086218,valspodar,3.0,Protein,10,amdray|valspodar|valspodar|valspodar,psc 833|psc833|sdz psc 833|sdz-psc 833
CHEMBL1089636,ang1005,3.0,Protein,6,paclitaxel trevatide,ang-1005|ang1005
CHEMBL109,valproic acid,4.0,Small molecule,21,convulex|depakene|depakote|stavzor|valproic acid,44089|nsc-93819
CHEMBL1091644,linsitinib,3.0,Small molecule,13,linsitinib|linsitinib,asp-7487|osi-906|osi-906aa
CHEMBL1093458,endoxifen,3.0,Small molecule,5,,nsc-749798
CHEMBL1094636,niraparib,4.0,Small molecule,19,niraparib|niraparib|zejula,jnj-64091742|mk-4827|mk4827|zl-2306
CHEMBL109480,tanespimycin,3.0,Small molecule,12,tanespimycin|tanespimycin,17-aag|bms-722782|cnf-1010|cnf1010|kos-953
CHEMBL1095097,eplerenone,4.0,Small molecule,14,eplerenone|eplerenone|eplerenone|inspra,sc-66110|sc-6611o
CHEMBL1096562,methyl aminolevulinate,4.0,Small molecule,8,metvix,
CHEMBL1096882,fludarabine phosphate,4.0,Small molecule,15,fludara|fludarabine phosphate|fludarabine phosphate|fludarabine phosphate|oforta,nsc-312887|nsc-328002
CHEMBL1096885,valrubicin,4.0,Small molecule,14,valrubicin|valrubicin|valstar|valstar preservative free,ad 32|ad-32|nsc-246131
CHEMBL1098,bupivacaine,4.0,Small molecule,23,anekain|bupivacaine|bupivacaine|bupivacaine|bupivacaine component of zynrelef,br-003|liq-865|liq865|sky-0402|sky0402
CHEMBL1112,aripiprazole,4.0,Small molecule,28,abilify|abilify asimtufii|abilify maintena|abilify maintena kit|abilify mycite kit,nsc-759266|opc-14597|opc-31
CHEMBL1116,raloxifene hydrochloride,4.0,Small molecule,21,evirex|evista|optruma|ostiral|raloxifene hydrochloride,ly-156758|ly156758|nsc-706725
CHEMBL1117,idarubicin,4.0,Small molecule,7,idarubicin|idarubicin,
CHEMBL112,acetaminophen,4.0,Small molecule,115,abdine|acephen|acetaminophen|acetaminophen component of allay|acetaminophen component of anexsia,nsc-109028|nsc-3991
CHEMBL112302,sodium selenite,3.0,Small molecule,12,,nsc-347466
CHEMBL1129,trifluridine,4.0,Small molecule,19,t.f.t.|trifluridine|trifluridine|trifluridine|trifluridine component of lonsurf,nsc-529182|nsc-75520
CHEMBL11298,serine,3.0,Small molecule,10,serine|serine,nsc-118365
CHEMBL113,caffeine,4.0,Small molecule,43,caffeine component of anoquan|caffeine component of cafergot|caffeine component of darvon compound|caffeine component of dhc plus|caffeine component of esgic,fema no. 2224|nsc-5036
CHEMBL1130,doxifluridine,3.0,Small molecule,11,doxifluridine,nsc-758890|ro 219738|ro-219738
CHEMBL113051,gimatecan,2.0,Small molecule,2,gimatecan,
CHEMBL113178,selenomethionine,4.0,Small molecule,3,,nsc-760370
CHEMBL1133,oxybutynin chloride,4.0,Small molecule,19,ditropan|ditropan xl|gelnique|oxybutynin chloride|oxybutynin chloride,5058|mj 4309-1|mj-4309-1|nsc-759108
CHEMBL11359,cisplatin,4.0,Small molecule,29,cisplatin|cisplatin|cisplatin|cisplatin|platinol,cis-ddp|cisplatin component of int-230-6|cisplatin component of int230-6|nsc-119875
CHEMBL1140,niacinamide,4.0,Small molecule,20,freederm|niacinamide component of tpn|niacinamide component of vitaped|niatin|nicam,nsc-13128|nsc-27452
CHEMBL1144,pravastatin,4.0,Small molecule,8,pravastatin|pravastatin,c10aa03
CHEMBL1149,levocarnitine,4.0,Small molecule,14,carnitor|carnitor sf|levocarnitine|levocarnitine|levocarnitine,nsc-759132
CHEMBL1159650,clobetasol propionate,4.0,Small molecule,36,clarelux|clobaderm|clobetasol|clobetasol|clobetasol propionate,cci 4725|cci-4725|gr 2/925|gr-2/925|nsc-758634
CHEMBL1161,mometasone furoate,4.0,Small molecule,32,asmanex|asmanex hfa|asmanex twisthaler|elocon|mometasone furoate,las-41002|las41002|lyr-210|lyr210|nsc-746171
CHEMBL1166,argatroban,4.0,Small molecule,25,acova|argatroban|argatroban|argatroban|argatroban,dk-7419|gn-1600|gn1600|mci-9038|md-805
CHEMBL11672,roquinimex,2.0,Small molecule,8,roquinimex|roquinimex,fcf 89|fcf-89|ls 2616|ls-2616
CHEMBL1168,ramipril,4.0,Small molecule,31,altace|lopace|ramipril|ramipril|ramipril,c09aa05|hoe 498|hoe-498|nsc-758933
CHEMBL1170047,iniparib,3.0,Small molecule,7,iniparib|iniparib,bsi-201|sar240550
CHEMBL1171837,ponatinib,4.0,Small molecule,9,iclusig|ponatinib|ponatinib,ap-24534|ap24534
CHEMBL1172,desloratadine,4.0,Small molecule,41,aerius|allex|azomyr|clarinex|dasselta,nsc-759824|sch 34117|sch-34117
CHEMBL1173055,rucaparib,4.0,Small molecule,6,rucaparib|rucaparib,ag-14447
CHEMBL1173655,afatinib,4.0,Small molecule,31,afatinib|afatinib|gilotrif|giotrif,bibw-2992|bibw2992|nsc-750691
CHEMBL1175,duloxetine,4.0,Small molecule,8,duloxetine|duloxetine,ly-248686|ly248686
CHEMBL118,celecoxib,4.0,Small molecule,23,celebra|celebrex|celecoxib|celecoxib|celecoxib,dfn-15|dfn15|nsc-719627|nsc-758624|sc-58635
CHEMBL118218,irofulven,3.0,Small molecule,13,irofulven|irofulven,lp-100|mgi 114|mgi-114|mgi114|nsc-683863
CHEMBL1184,acetylcholine chloride,4.0,Small molecule,13,acetylcholine chloride|miochol|miochol-e|miphtel,nsc-755845
CHEMBL1186894,amrubicin,3.0,Small molecule,6,amrubicin,
CHEMBL118841,pyrazoloacridine,2.0,Small molecule,5,,nsc-366140|nsc-627168|pd 115934|pd-115934
CHEMBL1189025,brostallicin,2.0,Small molecule,5,brostallicin,
CHEMBL1189679,palonosetron,4.0,Small molecule,7,palonosetron,nsc-743769
CHEMBL1195136,snx 5422,2.0,Small molecule,4,,
CHEMBL1199324,fosaprepitant,4.0,Small molecule,6,fosaprepitant|ivemend,l-758298
CHEMBL1200330,pilocarpine hydrochloride,4.0,Small molecule,23,isopto carpine|ocusert|pilocarpine hydrochloride|pilocarpine hydrochloride component of betoptic pilo|piloc hcl,
CHEMBL1200335,testosterone enanthate,4.0,Small molecule,14,delatestryl|primoteston depot|testosterone enanthate|testosterone enanthate component of ditate-ds|xyosted (autoinjector),nsc-17591
CHEMBL1200339,phenylephrine hydrochloride,4.0,Small molecule,27,afrin 4 hour nasal spray|biorphen|fenilfar|fenox|immphentiv,nsc-757273
CHEMBL1200343,perindopril erbumine,4.0,Small molecule,14,aceon|coversyl|perindopril erbumine|perindopril erbumine|perindopril erbumine component of amlessa,mcn-a-2833-109|nsc-758929|s-9490-3
CHEMBL1200347,isopropamide iodide,4.0,Small molecule,19,darbid|isopropamide iodide|isopropamide iodide component of vesalium,nsc-15521|r-79|skf-4740
CHEMBL1200358,sodium phenylacetate,4.0,Small molecule,7,sodium phenylacetate|sodium phenylacetate component of ammonul|sodium phenylacetate component of ucephan,nsc-3039
CHEMBL1200374,exemestane,4.0,Small molecule,17,aromasin|exemestane|exemestane|exemestane|exemestane,fce-24304|fce24304|nsc-758907|pnu-155971
CHEMBL1200380,acyclovir sodium,4.0,Small molecule,14,acyclovir sodium|acyclovir sodium|zovirax,bw 248u|bw 248u sodium|bw-248u sodium|bw-248u-sodium|bw248u sodium
CHEMBL1200381,arginine hydrochloride,4.0,Small molecule,13,arginine hydrochloride|r-gene 10,nsc-203450|nsc-7914
CHEMBL1200391,tromethamine,4.0,Small molecule,16,tham|trometamol|trometamol|tromethamine|tromethamine component of tham-e,nsc-6365
CHEMBL1200392,doxylamine succinate,4.0,Small molecule,20,decapryn|doxylamine succinate|doxylamine succinate component of bendectin|doxylamine succinate component of bonjesta|doxylamine succinate component of diclectin,nsc-74772
CHEMBL1200395,orphenadrine citrate,4.0,Small molecule,12,norflex|orphenadrine citrate|orphenadrine citrate component of invagesic|orphenadrine citrate component of invagesic forte|orphenadrine citrate component of norgesic,nsc-757238
CHEMBL1200396,bupivacaine hydrochloride,4.0,Small molecule,33,bupivacaine hydrochloride|bupivacaine hydrochloride|bupivacaine hydrochloride component of duocaine|bupivacaine hydrochloride component of sensorcaine|bupivacaine hydrochloride kit,"ah-2250|lac-43|nsc-758631|win 11,318|win-11318"
CHEMBL1200406,dimenhydrinate,4.0,Small molecule,12,antemin|dimenhydrinate|dimenhydrinate|dramamine|vertigo-vomex s,nsc-117855
CHEMBL1200409,lidocaine hydrochloride,4.0,Small molecule,66,akten|alphacaine hydrochloride|anestacon|anodesyn|bismodyne,nsc-757420
CHEMBL1200410,procarbazine hydrochloride,4.0,Small molecule,20,matulane|natulan|procarbazine hydrochloride,nci-c 01810|nci-c-01810|nsc-77213|ro 4 6467/1|ro 4-6467/1
CHEMBL1200419,molindone hydrochloride,4.0,Small molecule,8,moban|molindone hydrochloride|molindone hydrochloride,en-1733a
CHEMBL1200431,gadopentetate dimeglumine,4.0,Small molecule,20,gadopentetate dimeglumine|gadopentetic acid|gadopentetic acid|magnevist,sh l 451 a|sh-l 451 a|sh-l-451-a|shl-451a
CHEMBL1200436,oxandrolone,4.0,Small molecule,21,anavar|oxandrin|oxandrolone|oxandrolone|oxandrolone,nsc-67068|sc 11585|sc-11585
CHEMBL1200446,tripelennamine hydrochloride,4.0,Small molecule,9,pbz-sr|tripelennamine hydrochloride,nsc-409943
CHEMBL1200473,cyclopentolate hydrochloride,4.0,Small molecule,14,ak-pentolate|akpentolate|alnide|cyclogyl|cyclopentolate hydrochloride,nsc-756706
CHEMBL1200475,daunorubicin citrate,4.0,Small molecule,5,daunoxome,
CHEMBL1200479,dicyclomine hydrochloride,4.0,Small molecule,14,bentyl|bentyl preservative free|dicyclomine hydrochloride|dicyclomine hydrochloride (preservative free)|dicyclomine hydrochloride (preservative-free),nsc-404381
CHEMBL1200480,octreotide acetate,4.0,Protein,20,bynfezia pen|mycapssa|octreotide acetate|octreotide acetate|octreotide acetate (preservative free),sms 201-995 ac|sms-201-995 ac|sms-201995-ac
CHEMBL1200485,sorafenib tosylate,4.0,Small molecule,12,nexavar|sorafenib accord|sorafenib tosylate,bay 54-9085|bay-54-9085
CHEMBL1200491,epinastine hydrochloride,4.0,Small molecule,14,elestat|epinastine hydrochloride|relestat,de-114|wal 801 cl|wal-801cl|wal-802-cl
CHEMBL1200496,calcium,4.0,Small molecule,4,,
CHEMBL1200497,cyclizine lactate,4.0,Small molecule,3,marezine,
CHEMBL1200501,goserelin acetate,4.0,Protein,9,novgos|zoladex|zoladex la,
CHEMBL1200509,histrelin acetate,4.0,Protein,7,supprelin|supprelin la|vantas,
CHEMBL1200511,gonadorelin acetate,4.0,Protein,20,gnrh|gonadorelin acetate|gonadotropin releasing hormone|lh releasing factor|lutrelef,abbott-41070
CHEMBL1200521,almotriptan malate,4.0,Small molecule,13,almotriptan malate|almotriptan malate|axert,"las 31416 d,l-malate acid|las-31416 d,l-malate acid|las-31416-d,l-malate-acid|pnu-180638e"
CHEMBL1200522,avobenzone,4.0,Small molecule,16,avobenzone|avobenzone|avobenzone component of anthelios sx|avobenzone component of capital soleil|avobenzone component of shade uvaguard,nsc-758680
CHEMBL1200523,cefazolin sodium,4.0,Small molecule,24,acef|ancef|cefazolin and dextrose|cefazolin sodium|cefazolin sodium,46083|nsc-291561|sk&f 41558|sk&f-41558
CHEMBL1200532,methdilazine hydrochloride,4.0,Small molecule,5,methdilazine hydrochloride|tacaryl,nsc-169091
CHEMBL1200534,moexipril hydrochloride,4.0,Small molecule,16,moexipril hydrochloride|moexipril hydrochloride|moexipril hydrochloride component of uniretic|perdix|univasc,ci 925|ci-925|rs-10085-197|spm 925|spm-925
CHEMBL1200539,calcium carbonate,4.0,Small molecule,47,adcal|albacar|cacit|calc 500|calcette,e-170(i)|ins-170(i)|ins no.170(i)|ndi 443
CHEMBL1200544,cephalexin,4.0,Small molecule,23,cephalexin|cephalexin|ceporex|keflet|keflex,66873|ly-66873
CHEMBL1200550,antazoline phosphate,4.0,Small molecule,3,antazoline phosphate component of vasocon-a,nsc-755865
CHEMBL1200554,triptorelin pamoate,4.0,Protein,10,trelstar|triptodur kit|triptorelin pamoate,
CHEMBL1200571,gadobenate dimeglumine,4.0,Small molecule,20,gadobenate dimeglumine|gadobenic acid|gadobenic acid|multihance|multihance multipack,b-19036|b1903617|b-19036/7|b19036/7
CHEMBL1200574,sodium chloride,4.0,Small molecule,76,aqsia (balanced salt soln)|askina|askina jet|balanced salt|broncho saline,b1655|ls-1700|nsc-77364|saline solution|sodium chloride component of rns-60  saline
CHEMBL1200582,aminolevulinic acid hydrochloride,4.0,Small molecule,19,ameluz|aminolevulinic acid hydrochloride|gleolan|gliolan|levulan,npc-07|nsc-18509
CHEMBL1200598,diethylstilbestrol diphosphate,4.0,Small molecule,4,fosfestrol|stilphostrol,
CHEMBL1200604,tropicamide,4.0,Small molecule,23,mydriacyl|mydriafair|nods|tropicacyl|tropicamide,nsc-757372|ro-1-7683
CHEMBL1200618,fexofenadine hydrochloride,4.0,Small molecule,24,allegra|allegra allergy|allegra hives|children's allegra allergy|children's allegra hives,"mdl 16,455a|mdl-16455a"
CHEMBL1200622,paricalcitol,4.0,Small molecule,13,paricalcitol|paricalcitol|paricalcitol|zemplar,compound 49510|compound-49510
CHEMBL1200625,strontium chloride sr 89,4.0,Small molecule,17,metastron|strontium chloride sr 89|strontium chloride sr-89,sms-2pa|sms2pa
CHEMBL1200638,dexbrompheniramine maleate,4.0,Small molecule,10,dexbrompheniramine maleate component of brompheril|dexbrompheniramine maleate component of disobrom|dexbrompheniramine maleate component of disophrol|dexbrompheniramine maleate component of drixoral|dexbrompheniramine maleate component of drixoral plus,
CHEMBL1200645,etoposide phosphate,4.0,Small molecule,12,etopophos|etopophos preservative free|etoposide phosphate,bmy 40481|bmy-40481|vp-16|vp16
CHEMBL1200659,enalapril maleate,4.0,Small molecule,36,aqumeldi|ednyt|enalapril maleate|enalapril maleate|enalapril maleate component of lexxel,mk-421|nsc-758143
CHEMBL1200660,isosorbide,4.0,Small molecule,16,ismotic|isosorbide|isosorbide|isosorbide,at-101|nsc-40725
CHEMBL1200675,toremifene citrate,4.0,Small molecule,10,fareston|toremifene citrate,fc-1157a|nsc-613680
CHEMBL1200681,montelukast sodium,4.0,Small molecule,11,montelukast sodium|montelukast sodium|singulair,mk-476|nsc-759107
CHEMBL1200694,sevoflurane,4.0,Small molecule,24,sevoflo|sevoflurane|sevoflurane|sevoflurane|sevoflurane,mr-6s4|mr_6s4|mr6s4|nsc-760367
CHEMBL1200699,doxycycline,4.0,Small molecule,24,doxirobe|doxychel|doxycycline|doxycycline|doxycycline,gs-3065
CHEMBL1200707,benzquinamide hydrochloride,4.0,Small molecule,3,emete-con,
CHEMBL1200711,omega-3-acid ethyl esters,4.0,Small molecule,23,doconexent (dha ethyl ester)|dualtis|icosapent (epa ethyl ester)|lovaza|nebbaro,k-85|k85|tak-085
CHEMBL1200721,estramustine phosphate sodium,4.0,Small molecule,10,emcyt,ro-21-8837-001|ro-218837-001
CHEMBL1200731,potassium chloride,4.0,Small molecule,68,diffu-k|duro-k|k+10|k+8|kaleorid,b1653|e 508|e-508|ins-508|ins no.508
CHEMBL1200735,moxifloxacin hydrochloride,4.0,Small molecule,19,avelox|minims|moxeza|moxifloxacin hydrochloride|moxifloxacin hydrochloride,al-15469a|bay 12-8039|bay-12-8039|nsc-758875
CHEMBL1200744,sodium fluoride f 18,4.0,Small molecule,16,fluorine f-18|sodium fluoride f 18|sodium fluoride f-18,
CHEMBL1200750,promethazine hydrochloride,4.0,Small molecule,31,anergan 25|genphen|mepergan|mymethazine fortis|phenergan,
CHEMBL1200751,mercaptopurine,4.0,Small molecule,22,mercaptopurine|mercaptopurine|mercaptopurine|puri-nethol|purinethol,nsc-755|nsc-759614
CHEMBL1200761,chlorotrianisene,4.0,Small molecule,14,chlorotrianisene|chlorotrianisene|tace,nsc-10108
CHEMBL1200764,methacholine chloride,4.0,Small molecule,9,methacholine chloride|provocholine,nsc-757090
CHEMBL1200769,tripelennamine citrate,4.0,Small molecule,3,pbz,nsc-757360
CHEMBL1200771,tridihexethyl chloride,4.0,Small molecule,3,pathilon,
CHEMBL1200775,leuprolide acetate,4.0,Protein,33,eligard|eligard kit|fensolvi kit|leuprolide acetate|leuprolide acetate,a-43818|abbott-43818|tap-144
CHEMBL1200776,cinacalcet hydrochloride,4.0,Small molecule,17,cinacalcet accordpharma|cinacalcet hydrochloride|cinacalcet mylan|mimpara|parareg,amg-073 hcl|amg073 hcl|amg073 hydrochloride
CHEMBL1200778,dexrazoxane hydrochloride,4.0,Small molecule,14,dexrazoxane hydrochloride|savene|totect|zinecard,adr-529 hydrochloride|icrf-187 hydrochloride
CHEMBL1200795,clemastine fumarate,4.0,Small molecule,13,clemastine fumarate|clemastine fumarate|clemastine fumarate|clemastine fumarate component of tavist-d|tavegil,
CHEMBL1200796,cyclophosphamide,4.0,Small molecule,27,cyclophosphamide|cytoxan|cytoxan (lyophilized)|endoxana|lyophilized cytoxan,b-518|nsc-26271|nsc-756711
CHEMBL1200803,solifenacin succinate,4.0,Small molecule,14,solifenacin succinate|solifenacin succinate|solifenacin succinate|vesicare|vesicare ls,ym-67905|ym67905|ym-905|ym905
CHEMBL1200809,azelastine hydrochloride,4.0,Small molecule,21,astelin|astepro|astepro allergy|azelastine hydrochloride|azelastine hydrochloride,a-5610|e-0659|w-2979m
CHEMBL1200810,doxercalciferol,4.0,Small molecule,16,doxercalciferol|doxercalciferol|doxercalciferol|hectorol,gz427397|tsa-840
CHEMBL1200814,acetazolamide sodium,4.0,Small molecule,7,acetazolamide sodium|diamox,
CHEMBL1200823,iron sucrose,4.0,Small molecule,17,iron sucrose|iron sucrose,xi-921
CHEMBL1200826,lithium carbonate,4.0,Small molecule,25,camcolit 250|camcolit 400|eskalith|eskalith cr|liskonum,"cp-15,467-61|cp-15467-61|cp-1546761|nsc-16895"
CHEMBL1200831,spirapril hydrochloride,4.0,Small molecule,7,renormax|spirapril hydrochloride,sch 33844|sch-33844
CHEMBL1200854,fluphenazine decanoate,4.0,Small molecule,17,decazate|depot|fluphenazine decanoate|modecate|modecate conc,nsc-169510|qd-10733|sq-10733
CHEMBL1200859,isosulfan blue,4.0,Small molecule,21,isosulfan blue|isosulfan blue|lymphazurin|sulphan blue,nsc-734902|p-1888|p-4125
CHEMBL1200863,melphalan hydrochloride,4.0,Small molecule,16,alkeran|evomela|hepzato|ivra|melphalan hydrochloride,cb 3025 hydrochloride|cb-3025 hydrochloride
CHEMBL1200873,phentolamine mesylate,4.0,Small molecule,13,oraverse|phentolamine mesylate|regitine|rogitine|ryzumvi,nv-101
CHEMBL1200880,diphemanil methylsulfate,4.0,Small molecule,7,diphemanil metilsulfate|prantal,nsc-41725
CHEMBL1200881,minocycline hydrochloride,4.0,Small molecule,28,acnamino|aknemin|aknemin 50|amzeeq|arestin,nsc-141993
CHEMBL1200891,oxyphencyclimine hydrochloride,4.0,Small molecule,4,daricon,nsc-528449
CHEMBL1200895,phenelzine sulfate,4.0,Small molecule,8,nardil|phenelzine sulfate,nsc-170957
CHEMBL1200906,oxyphenonium bromide,4.0,Small molecule,15,antrenyl|oxyphenonium bromide,ba-5473|c-5473|nsc-759248
CHEMBL1200907,trilostane,4.0,Small molecule,19,modrastane|modrenal|trilocur|trilorale|trilostane,"nsc-758904|win 24,540|win-24540"
CHEMBL1200914,tamsulosin hydrochloride,4.0,Small molecule,41,alphacard mr|bazetham mr|contiflo xl|cositam xl|diffundox,ly-253351|ly253351|r-(-)-ym-12617|ym-12617-1|ym-617
CHEMBL1200927,dexchlorpheniramine maleate,4.0,Small molecule,8,dexchlorpheniramine maleate|polaramine,nsc-759156
CHEMBL1200932,iopamidol,4.0,Small molecule,27,iopamidol|iopamidol|iopamidol|iopamidol|iopamidol-200,"sq 13,396|sq-13396"
CHEMBL1200935,darifenacin hydrobromide,4.0,Small molecule,14,darifenacin hydrobromide|darifenacin hydrobromide|emselex|enablex,uk-88525-04 (hydrobromide)
CHEMBL1200940,metoclopramide hydrochloride,4.0,Small molecule,34,"clopra|clopra-""yellow""|gastrese l.a.|gastrobid continus|gastroflux",ahr-3070-c|nsc-757117
CHEMBL1200948,trimipramine maleate,4.0,Small molecule,8,surmontil|trimipramine maleate|trimipramine maleate,nsc-758386
CHEMBL1200950,clidinium bromide,4.0,Small molecule,13,clidinium bromide|clidinium bromide|clidinium bromide|clidinium bromide component of librax|quarzan,nsc-756686|ro 2-3773|ro-2-3773|ro-23773
CHEMBL1200951,fluphenazine enanthate,4.0,Small molecule,11,moditen enant|prolixin enanthate,"sq 16,114|sq 16144"
CHEMBL1200959,methdilazine,4.0,Small molecule,5,methdilazine|tacaryl,
CHEMBL1200961,brompheniramine maleate,4.0,Small molecule,22,brompheniramine maleate|brompheniramine maleate component of biphetap|brompheniramine maleate component of bromanate|brompheniramine maleate component of bromanate dc|brompheniramine maleate component of bromanate dm,nsc-758652
CHEMBL1200967,bromodiphenhydramine hydrochloride,4.0,Small molecule,7,ambodryl|bromodiphenhydramine hydrochloride component of ambenyl|bromodiphenhydramine hydrochloride component of bromanyl,nsc-36113
CHEMBL1200969,dutasteride,4.0,Small molecule,21,avodart|dutasteride|dutasteride|dutasteride|dutasteride,gg-745|gi 198745|gi-198745|nsc-740477|nsc-759880
CHEMBL1200974,carbinoxamine maleate,4.0,Small molecule,7,carbinoxamine maleate|clistin|davenol|karbinal er,nsc-62362
CHEMBL1200976,idarubicin hydrochloride,4.0,Small molecule,16,idamycin|idamycin pfs|idarubicin hydrochloride|idarubicin hydrochloride|idarubicin hydrochloride,imi 30|imi-30|nsc-256439
CHEMBL1200981,epirubicin hydrochloride,4.0,Small molecule,15,ellence|epirubicin hydrochloride|epirubicin hydrochloride|pharmorubicin,imi-28|nsc-759195|wp-697
CHEMBL1201,thiothixene,4.0,Small molecule,21,navane|orbinamon|thiothixene|thiothixene|tiotixene,cp-12252-1|nsc-108165|p-4657 b|p-4657b
CHEMBL1201001,mechlorethamine hydrochloride,4.0,Small molecule,11,mustargen|valchlor,nsc-762
CHEMBL1201003,eletriptan hydrobromide,4.0,Small molecule,8,eletriptan hydrobromide|relpax,"nsc-759258|uk-116,044-04|uk-116044-04"
CHEMBL1201006,pyrilamine maleate,4.0,Small molecule,20,pyrilamine maleate|pyrilamine maleate component of prefrin-a,nsc-3604
CHEMBL1201010,fludrocortisone acetate,4.0,Small molecule,14,astonin|florinef|fludrocortisone acetate|fludrocortone|panotile,nsc-15186
CHEMBL1201011,quinapril hydrochloride,4.0,Small molecule,17,accupril|accupro|quinapril hydrochloride|quinapril hydrochloride|quinapril hydrochloride component of accuretic,ci 906|ci-906|nsc-758222
CHEMBL1201023,orphenadrine hydrochloride,4.0,Small molecule,7,disipal,nsc-82357
CHEMBL1201027,glycopyrronium bromide,4.0,Small molecule,55,cuvposa|dartisla odt|enurev breezhaler|glycopyrrolate|glycopyrrolate,ad-237|ahr-504|chf-5259|chf5259|nsc-250836
CHEMBL1201052,mesoridazine besylate,4.0,Small molecule,6,serentil,nsc-760073
CHEMBL1201066,venlafaxine hydrochloride,4.0,Small molecule,14,effexor|effexor xr|venlafaxine hydrochloride|venlafaxine hydrochloride,"nsc-745751|wy-45,030|wy-45030"
CHEMBL1201068,propiomazine hydrochloride,4.0,Small molecule,3,largon,
CHEMBL1201084,sodium iodide i 131,4.0,Small molecule,27,hicon|iodotope|oriodide|radiocaps-131|sodium iodide (131i),
